application_for,open_date_year,response_rate_met,ballots_cast,ballots_distributed,poll_result,open_date,ballot_return_rate,ballot_in_favour_rate
Front Yard Parking,2015,Yes,18,34,In Favour,2015-05-01,0.5294,0.9412
Front Yard Parking,2015,Yes,30,36,In Favour,2015-05-04,0.8333,1
Front Yard Parking,2015,Yes,43,97,In Favour,2015-05-12,0.4433,0.925
Traffic Calming,2015,No,137,334,Response Rate Not Met,2015-05-06,0.4102,0.7652
Boulevard Cafe,2015,Yes,30,106,In Favour,2015-05-06,0.283,0.6552
Traffic Calming,2015,No,63,235,Response Rate Not Met,2015-05-13,0.2681,0.6774
Commercial Boulevard Parking,2015,No,26,235,Response Rate Not Met,2015-05-11,0.1106,0.5417
Appeal - Front Yard Parking,2015,Yes,35,109,In Favour,2015-05-28,0.3211,0.9667
Traffic Calming,2015,No,101,340,Response Rate Not Met,2015-09-14,0.2971,0.6197
Front Yard Parking,2015,Yes,48,80,In Favour,2015-05-25,0.6,0.9362
Front Yard Parking,2015,Yes,36,73,In Favour,2015-05-20,0.4932,1
Traffic Calming,2015,Yes,24,43,In Favour,2015-05-21,0.5581,0.7917
Traffic Calming,2015,Yes,55,78,In Favour,2015-05-25,0.7051,0.8545
Boulevard Cafe,2015,No,3,16,Response Rate Not Met,2015-05-27,0.1875,0
Traffic Calming,2015,Yes,54,90,In Favour,2015-05-26,0.6,0.8113
Traffic Calming,2015,Yes,82,138,In Favour,2015-06-01,0.5942,0.8289
Traffic Calming,2015,Yes,134,271,In Favour,2015-05-28,0.4945,0.75
Traffic Calming,2015,No,87,261,Response Rate Not Met,2015-05-28,0.3333,0.7326
Traffic Calming,2015,Yes,68,138,In Favour,2015-06-01,0.4928,0.7213
Boulevard Cafe,2015,No,1,24,Response Rate Not Met,2015-06-01,0.0417,1
Traffic Calming,2015,No,2,11,Response Rate Not Met,2015-06-01,0.1818,0.5
Boulevard Cafe,2015,No,31,151,Response Rate Not Met,2015-06-08,0.2053,0.6207
Boulevard Cafe,2015,Yes,27,92,In Favour,2015-06-08,0.2935,0.9545
Boulevard Cafe,2015,Yes,30,76,In Favour,2015-06-10,0.3947,0.9583
Boulevard Cafe,2015,Yes,50,146,In Favour,2015-06-08,0.3425,0.9375
Appeal - Front Yard Parking,2015,Yes,25,59,In Favour,2015-06-11,0.4237,1
Appeal - Front Yard Parking,2015,Yes,29,75,Opposed,2015-06-11,0.3867,0.4074
Appeal - Front Yard Parking,2015,Yes,41,87,In Favour,2015-06-15,0.4713,0.9444
Appeal - Front Yard Parking,2015,Yes,41,59,In Favour,2015-06-15,0.6949,0.9737
Appeal - Front Yard Parking,2015,Yes,31,65,In Favour,2015-06-16,0.4769,0.84
Appeal - Front Yard Parking,2015,Yes,56,113,In Favour,2015-06-16,0.4956,0.6596
Boulevard Cafe,2015,No,0,22,Response Rate Not Met,2015-06-16,0,NA
Traffic Calming,2015,No,39,100,Response Rate Not Met,2015-06-10,0.39,0.5
Traffic Calming,2015,Yes,34,54,In Favour,2015-06-17,0.6296,0.7097
Front Yard Parking,2015,Yes,17,29,In Favour,2015-06-24,0.5862,1
Boulevard Cafe,2015,Yes,26,66,Opposed,2015-06-17,0.3939,0.5556
Boulevard Cafe,2015,No,0,18,Response Rate Not Met,2015-06-18,0,NA
Boulevard Cafe,2015,Yes,35,43,In Favour,2015-06-23,0.814,0.9697
Appeal - Front Yard Parking,2015,Yes,33,67,Opposed,2015-06-29,0.4925,0.1481
Appeal - Front Yard Parking,2015,Yes,20,40,In Favour,2015-06-25,0.5,1
Appeal - Front Yard Parking,2015,Yes,47,84,In Favour,2015-06-29,0.5595,0.8684
Appeal - Front Yard Parking,2015,Yes,48,127,In Favour,2015-06-25,0.378,0.7619
Traffic Calming,2015,No,36,86,Response Rate Not Met,2015-07-15,0.4186,0.8571
Appeal - Front Yard Parking,2015,Yes,27,101,In Favour,2015-06-29,0.2673,0.9091
Appeal - Front Yard Parking,2015,Yes,24,56,In Favour,2015-06-30,0.4286,0.9091
Appeal - Front Yard Parking,2015,Yes,26,30,In Favour,2015-07-02,0.8667,0.9231
Appeal - Front Yard Parking,2015,Yes,48,77,In Favour,2015-07-02,0.6234,0.9574
Front Yard Parking,2015,Yes,29,94,In Favour,2015-07-07,0.3085,0.9091
Boulevard Cafe,2015,Yes,28,98,In Favour,2015-07-07,0.2857,0.7692
Boulevard Cafe,2015,Yes,30,65,Opposed,2015-07-08,0.4615,0.0345
Appeal - Front Yard Parking,2015,Yes,42,99,In Favour,2015-07-09,0.4242,0.9211
Appeal - Front Yard Parking,2015,Yes,19,34,In Favour,2015-07-13,0.5588,0.75
