application_for,open_date,poll_result
Front Yard Parking,2015-05-01,In Favour
Front Yard Parking,2015-05-04,In Favour
Front Yard Parking,2015-05-12,In Favour
Traffic Calming,2015-05-06,Response Rate Not Met
Boulevard Cafe,2015-05-06,In Favour
Traffic Calming,2015-05-13,Response Rate Not Met
Commercial Boulevard Parking,2015-05-11,Response Rate Not Met
Appeal - Front Yard Parking,2015-05-28,In Favour
Traffic Calming,2015-09-14,Response Rate Not Met
Front Yard Parking,2015-05-25,In Favour
Front Yard Parking,2015-05-20,In Favour
Traffic Calming,2015-05-21,In Favour
Traffic Calming,2015-05-25,In Favour
Boulevard Cafe,2015-05-27,Response Rate Not Met
Traffic Calming,2015-05-26,In Favour
Traffic Calming,2015-06-01,In Favour
Traffic Calming,2015-05-28,In Favour
Traffic Calming,2015-05-28,Response Rate Not Met
Traffic Calming,2015-06-01,In Favour
Boulevard Cafe,2015-06-01,Response Rate Not Met
Traffic Calming,2015-06-01,Response Rate Not Met
Boulevard Cafe,2015-06-08,Response Rate Not Met
Boulevard Cafe,2015-06-08,In Favour
Boulevard Cafe,2015-06-10,In Favour
Boulevard Cafe,2015-06-08,In Favour
Appeal - Front Yard Parking,2015-06-11,In Favour
Appeal - Front Yard Parking,2015-06-11,Opposed
Appeal - Front Yard Parking,2015-06-15,In Favour
Appeal - Front Yard Parking,2015-06-15,In Favour
Appeal - Front Yard Parking,2015-06-16,In Favour
Appeal - Front Yard Parking,2015-06-16,In Favour
Boulevard Cafe,2015-06-16,Response Rate Not Met
Traffic Calming,2015-06-10,Response Rate Not Met
Traffic Calming,2015-06-17,In Favour
Front Yard Parking,2015-06-24,In Favour
Boulevard Cafe,2015-06-17,Opposed
Boulevard Cafe,2015-06-18,Response Rate Not Met
Boulevard Cafe,2015-06-23,In Favour
Appeal - Front Yard Parking,2015-06-29,Opposed
Appeal - Front Yard Parking,2015-06-25,In Favour
Appeal - Front Yard Parking,2015-06-29,In Favour
Appeal - Front Yard Parking,2015-06-25,In Favour
Traffic Calming,2015-07-15,Response Rate Not Met
Appeal - Front Yard Parking,2015-06-29,In Favour
Appeal - Front Yard Parking,2015-06-30,In Favour
Appeal - Front Yard Parking,2015-07-02,In Favour
Appeal - Front Yard Parking,2015-07-02,In Favour
Front Yard Parking,2015-07-07,In Favour
Boulevard Cafe,2015-07-07,In Favour
Boulevard Cafe,2015-07-08,Opposed
Appeal - Front Yard Parking,2015-07-09,In Favour
Appeal - Front Yard Parking,2015-07-13,In Favour
Traffic Calming,2015-07-20,Response Rate Not Met
Traffic Calming,2015-07-23,Response Rate Not Met
Boulevard Cafe,2015-07-23,In Favour
Traffic Calming,2015-07-23,In Favour
Front Yard Parking,2015-07-27,In Favour
Traffic Calming,2015-07-28,Response Rate Not Met
Traffic Calming,2015-07-27,In Favour
Traffic Calming,2015-07-28,Opposed
Boulevard Cafe,2015-07-28,Response Rate Not Met
Front Yard Parking,2015-07-28,In Favour
Front Yard Parking,2015-07-27,In Favour
Traffic Calming,2015-08-04,Response Rate Not Met
Appeal - Front Yard Parking,2015-07-30,In Favour
Appeal - Front Yard Parking,2015-08-06,In Favour
Front Yard Parking,2015-08-06,In Favour
Appeal - Front Yard Parking,2015-08-10,In Favour
Appeal - Front Yard Parking,2015-08-13,Opposed
Appeal - Front Yard Parking,2015-08-10,In Favour
Proposed Business Improvement Area,2015-08-17,In Favour
Permit Parking,2015-08-13,In Favour
Boulevard Cafe,2015-08-24,Opposed
Appeal - Front Yard Parking,2015-09-02,In Favour
Appeal - Front Yard Parking,2015-09-02,In Favour
Appeal - Front Yard Parking,2015-09-02,In Favour
Appeal - Front Yard Parking,2015-09-03,In Favour
Appeal - Front Yard Parking,2015-09-02,In Favour
Appeal - Front Yard Parking,2015-09-03,In Favour
Appeal - Front Yard Parking,2015-09-03,In Favour
Front Yard Parking,2015-09-03,In Favour
Front Yard Parking,2015-09-08,In Favour
Front Yard Parking,2015-09-08,In Favour
Front Yard Parking,2015-09-08,In Favour
Traffic Calming,2015-09-15,Response Rate Not Met
Permit Parking,2015-09-16,Response Rate Not Met
Appeal - Front Yard Parking,2015-09-21,In Favour
Front Yard Parking,2015-09-17,In Favour
Appeal - Front Yard Parking,2015-09-22,In Favour
Front Yard Parking,2015-09-17,In Favour
Front Yard Parking,2015-09-29,In Favour
Appeal - Front Yard Parking,2015-09-23,In Favour
Commercial Boulevard Parking,2015-09-30,Response Rate Not Met
Commercial Boulevard Parking,2015-09-24,Opposed
Commercial Boulevard Parking,2015-10-01,Response Rate Not Met
Front Yard Parking,2015-09-24,In Favour
Front Yard Parking,2015-09-28,In Favour
Front Yard Parking,2015-09-28,In Favour
Front Yard Parking,2015-09-29,In Favour
Front Yard Parking,2015-09-29,Response Rate Not Met
Front Yard Parking,2015-10-01,In Favour
Traffic Calming,2015-10-06,Response Rate Not Met
Front Yard Parking,2015-10-14,In Favour
Front Yard Parking,2015-10-15,In Favour
Front Yard Parking,2015-10-19,In Favour
Front Yard Parking,2015-10-14,In Favour
Front Yard Parking,2015-10-15,In Favour
Front Yard Parking,2015-10-15,In Favour
Appeal - Front Yard Parking,2015-10-22,In Favour
Appeal - Front Yard Parking,2015-10-22,In Favour
Appeal - Front Yard Parking,2015-10-26,Opposed
Appeal - Front Yard Parking,2015-10-26,In Favour
Appeal - Front Yard Parking,2015-10-28,In Favour
Appeal - Front Yard Parking,2015-10-27,In Favour
Proposed Business Improvement Area,2015-11-30,In Favour
Traffic Calming,2015-11-16,Response Rate Not Met
Traffic Calming,2015-11-05,Response Rate Not Met
Front Yard Parking,2015-11-02,In Favour
Front Yard Parking,2015-11-02,In Favour
Front Yard Parking,2015-11-05,In Favour
Appeal - Front Yard Parking,2015-11-02,In Favour
Traffic Calming,2015-11-10,Response Rate Not Met
Traffic Calming,2015-11-23,Response Rate Not Met
Traffic Calming,2015-11-17,Response Rate Not Met
Traffic Calming,2015-11-12,In Favour
Front Yard Parking,2015-11-23,In Favour
Front Yard Parking,2015-11-23,In Favour
Traffic Calming,2015-11-25,Response Rate Not Met
Boulevard Cafe,2015-11-25,Opposed
Traffic Calming,2016-01-18,Opposed
Traffic Calming,2016-01-18,In Favour
Traffic Calming,2016-01-18,Opposed
